ID da Compra;Data da Compra;Nome do Material;Quantidade (kg);Preço por kg (R$);Preço Total (R$)
62;2021-08-01;PP BRANCO;48.76;2.3;112.15
63;2021-11-01;óleo;6.04;2.1;12.68
64;2021-11-01;PP COLORIDO;39.31;1.5;58.96
65;2021-11-01;arquivo;49.18;0.7;34.43
66;2021-11-01;latinha;1.86;7.9;14.69
67;2021-11-01;ferro;14.36;1.1;15.8
68;2021-11-01;bloco;49.59;8.4;416.56
69;2021-11-01;latinha;21.35;7.9;168.67
70;2021-11-01;papelão;22.23;0.8;17.78
71;2021-11-01;papelão;31.31;0.8;25.05
72;2021-11-01;chumbo;48.2;7.9;380.78
73;2021-11-01;ferro;9.86;1.1;10.85
74;2021-11-01;PP COLORIDO;29.69;1.5;44.54
75;2021-12-01;PET PEAD;18.3;2.6;47.58
76;2021-12-01;vidro;16.54;0.9;14.89
77;2021-12-01;ferro;33.92;1.1;37.31
78;2021-12-01;bateria;5.99;5.2;31.15
79;2021-12-01;cobre;9.06;41.6;376.9
80;2021-12-01;latinha;7.68;7.9;60.67
81;2021-12-01;óleo;10.37;2.1;21.78
82;2021-12-01;bloco;42.12;8.4;353.81
83;2021-12-01;óleo;5.43;2.1;11.4
84;2021-12-01;PP BRANCO;47.65;2.3;109.59
85;2021-12-01;latinha;19.0;7.9;150.1
86;2021-12-01;chumbo;6.42;7.9;50.72
87;;PP CRISTAL;1.11;3.0;3.33
88;;vidro;30.68;0.9;27.61
89;;chumbo;34.73;7.9;274.37
90;;papelão;2.06;0.8;1.65
91;;ferro;22.25;1.1;24.48
92;;PP BRANCO;11.75;2.3;27.02
93;;PP BRANCO;39.54;2.3;90.94
94;;bloco;1.13;8.4;9.49
95;;placa eletronica;46.83;37.5;1756.12
96;;PP PRETO;2.6;1.3;3.38
97;;óleo;18.27;2.1;38.37
98;;bloco;44.82;8.4;376.49
99;;óleo;49.9;2.1;104.79
100;;chumbo;24.92;7.9;196.87
101;;arquivo;40.5;0.7;28.35
102;;papelão;43.16;0.8;34.53
103;;aço;11.74;5.6;65.74
104;;PET PEAD;35.29;2.6;91.75
105;;bloco;22.85;8.4;191.94
106;;latinha;34.39;7.9;271.68
107;;bateria;43.57;5.2;226.56
108;;bateria;37.09;5.2;192.87
109;;vidro;23.45;0.9;21.1
110;;ferro;11.98;1.1;13.18
111;;ferro;43.4;1.1;47.74
112;;bateria;45.11;5.2;234.57
113;;PP BRANCO;33.86;2.3;77.88
114;;alto impacto;30.76;0.9;27.68
115;;arquivo;15.22;0.7;10.65
116;;PET PEAD;27.06;2.6;70.36
117;;PP BRANCO;49.53;2.3;113.92
118;;PP CRISTAL;22.09;3.0;66.27
119;;arquivo;11.38;0.7;7.97
120;;PP BRANCO;28.92;2.3;66.52
121;;alto impacto;45.3;0.9;40.77
122;;placa eletronica;47.59;37.5;1784.63
123;;latinha;46.19;7.9;364.9
124;;bloco;20.66;8.4;173.54
125;;alto impacto;27.54;0.9;24.79
126;;chumbo;14.6;7.9;115.34
127;;latinha;48.11;7.9;380.07
128;;ferro;1.6;1.1;1.76
129;;PP PRETO;32.75;1.3;42.58
130;;chumbo;28.79;7.9;227.44
131;;papelão;20.43;0.8;16.34
132;;cobre;13.01;41.6;541.22
133;;papelão;45.84;0.8;36.67
134;;vidro;7.07;0.9;6.36
135;;latinha;1.28;7.9;10.11
136;;PP CRISTAL;9.14;3.0;27.42
137;;chumbo;38.37;7.9;303.12
138;;cobre;12.4;41.6;515.84
139;;vidro;10.98;0.9;9.88
140;;óleo;36.8;2.1;77.28
141;;óleo;39.82;2.1;83.62
142;;alto impacto;25.22;0.9;22.7
143;;papelão;1.06;0.8;0.85
144;;aço;11.86;5.6;66.42
145;;aluminio;27.53;6.5;178.94
146;;aço;37.96;5.6;212.58
147;;latinha;43.41;7.9;342.94
148;;PP COLORIDO;1.54;1.5;2.31
149;;óleo;30.4;2.1;63.84
150;;chumbo;11.9;7.9;94.01
151;;papelão;15.69;0.8;12.55
152;;cobre;37.03;41.6;1540.45
153;;vidro;46.02;0.9;41.42
154;;aço;42.83;5.6;239.85
155;;PP COLORIDO;1.74;1.5;2.61
156;;papelão;31.63;0.8;25.3
157;;placa eletronica;22.04;37.5;826.5
158;;ferro;28.98;1.1;31.88
159;;vidro;7.61;0.9;6.85
160;;PP PRETO;36.53;1.3;47.49
161;;bloco;43.74;8.4;367.42
162;;PP COLORIDO;14.63;1.5;21.94
163;;PP PRETO;20.22;1.3;26.29
164;;PET PEAD;42.22;2.6;109.77
165;;chumbo;35.69;7.9;281.95
166;;placa eletronica;9.42;37.5;353.25
167;;aluminio;41.92;6.5;272.48
168;;bloco;36.65;8.4;307.86
169;;PET PEAD;44.24;2.6;115.02
170;;cobre;10.97;41.6;456.35
171;;aluminio;43.91;6.5;285.41
172;;latinha;35.74;7.9;282.35
173;;aluminio;31.45;6.5;204.42
174;;PP CRISTAL;47.26;3.0;141.78
175;;aluminio;31.34;6.5;203.71
176;;bateria;45.99;5.2;239.15
177;;arquivo;7.14;0.7;5.0
178;;PP BRANCO;41.16;2.3;94.67
179;;PP COLORIDO;16.14;1.5;24.21
180;;PP BRANCO;46.2;2.3;106.26
181;;aço;30.5;5.6;170.8
182;;ferro;33.8;1.1;37.18
183;;arquivo;22.86;0.7;16.0
184;;vidro;24.5;0.9;22.05
185;;cobre;27.82;41.6;1157.31
186;;bloco;3.32;8.4;27.89
187;;bloco;25.62;8.4;215.21
188;;aluminio;47.39;6.5;308.04
189;;óleo;2.23;2.1;4.68
190;;aluminio;21.97;6.5;142.8
191;;PP BRANCO;16.1;2.3;37.03
192;;chumbo;44.15;7.9;348.78
193;;aluminio;23.42;6.5;152.23
194;;PP COLORIDO;44.71;1.5;67.06
195;;ferro;32.56;1.1;35.82
196;;PP CRISTAL;39.66;3.0;118.98
197;;placa eletronica;19.74;37.5;740.25
198;;aço;46.6;5.6;260.96
199;;PP PRETO;28.67;1.3;37.27
200;;óleo;28.14;2.1;59.09
201;;PET PEAD;42.12;2.6;109.51
202;;alto impacto;30.88;0.9;27.79
203;;alto impacto;17.5;0.9;15.75
204;;papelão;39.01;0.8;31.21
205;;latinha;31.35;7.9;247.67
206;;PP BRANCO;37.15;2.3;85.44
207;;PP PRETO;15.32;1.3;19.92
208;;PP PRETO;43.03;1.3;55.94
209;;vidro;45.77;0.9;41.19
210;;PET PEAD;0.19;2.6;0.49
211;;arquivo;29.54;0.7;20.68
212;;bateria;14.39;5.2;74.83
213;;bloco;19.8;8.4;166.32
214;;cobre;10.96;41.6;455.94
215;;aluminio;15.25;6.5;99.12
216;;PET PEAD;14.89;2.6;38.71
217;;cobre;13.6;41.6;565.76
218;;latinha;1.65;7.9;13.04
219;;PP COLORIDO;11.18;1.5;16.77
220;;PP COLORIDO;43.12;1.5;64.68
221;;aluminio;49.72;6.5;323.18
222;;bloco;31.92;8.4;268.13
223;;cobre;32.1;41.6;1335.36
224;;latinha;12.48;7.9;98.59
225;;placa eletronica;29.61;37.5;1110.38
226;;latinha;17.67;7.9;139.59
227;;alto impacto;8.14;0.9;7.33
228;;papelão;26.2;0.8;20.96
229;;PP CRISTAL;42.33;3.0;126.99
230;;PET PEAD;7.56;2.6;19.66
231;;arquivo;15.87;0.7;11.11
232;;bateria;46.57;5.2;242.16
233;;PET PEAD;44.84;2.6;116.58
234;;cobre;41.66;41.6;1733.06
235;;PP CRISTAL;26.99;3.0;80.97
236;;cobre;15.56;41.6;647.3
237;;PET PEAD;38.72;2.6;100.67
238;;latinha;22.05;7.9;174.2
239;;bloco;17.16;8.4;144.14
240;;óleo;42.01;2.1;88.22
241;;bateria;29.1;5.2;151.32
242;;óleo;37.22;2.1;78.16
243;;PP PRETO;47.75;1.3;62.08
244;;bateria;39.82;5.2;207.06
245;;PP PRETO;23.18;1.3;30.13
246;;latinha;23.92;7.9;188.97
247;;PP BRANCO;25.47;2.3;58.58
248;;papelão;8.82;0.8;7.06
249;;aluminio;1.22;6.5;7.93
250;;PP BRANCO;27.31;2.3;62.81
251;;placa eletronica;40.14;37.5;1505.25
252;;PP PRETO;49.06;1.3;63.78
253;;ferro;44.71;1.1;49.18
254;;alto impacto;19.5;0.9;17.55
255;;papelão;41.55;0.8;33.24
256;;arquivo;30.15;0.7;21.1
257;;ferro;11.26;1.1;12.39
258;;bloco;38.94;8.4;327.1
259;;alto impacto;30.76;0.9;27.68
260;;aço;13.11;5.6;73.42
261;;alto impacto;39.98;0.9;35.98
262;;ferro;8.52;1.1;9.37
263;;alto impacto;30.85;0.9;27.76
264;;bateria;44.2;5.2;229.84
265;;vidro;46.52;0.9;41.87
266;;PP CRISTAL;34.9;3.0;104.7
267;;PP PRETO;7.79;1.3;10.13
268;;PP CRISTAL;3.48;3.0;10.44
269;;alto impacto;33.58;0.9;30.22
270;;PP PRETO;38.21;1.3;49.67
271;;aluminio;48.96;6.5;318.24
272;;PP COLORIDO;9.92;1.5;14.88
273;;PP BRANCO;7.97;2.3;18.33
274;;aluminio;4.1;6.5;26.65
275;;PP BRANCO;33.07;2.3;76.06
276;;PET PEAD;42.25;2.6;109.85
277;;PET PEAD;7.03;2.6;18.28
278;;óleo;33.63;2.1;70.62
279;;bloco;7.43;8.4;62.41
280;;placa eletronica;8.73;37.5;327.38
281;;vidro;27.21;0.9;24.49
282;;ferro;10.85;1.1;11.94
283;;bateria;15.18;5.2;78.94
284;;óleo;0.56;2.1;1.18
285;;papelão;31.67;0.8;25.34
286;;PP PRETO;11.28;1.3;14.66
287;;aço;9.08;5.6;50.85
288;;aluminio;35.89;6.5;233.28
289;;ferro;4.36;1.1;4.8
290;;chumbo;34.36;7.9;271.44
291;;vidro;13.56;0.9;12.2
292;;bloco;39.07;8.4;328.19
293;;cobre;40.44;41.6;1682.3
294;;PET PEAD;9.86;2.6;25.64
295;;vidro;42.1;0.9;37.89
296;;vidro;30.22;0.9;27.2
297;;vidro;35.48;0.9;31.93
298;;alto impacto;30.94;0.9;27.85
299;2021-01-02;PP PRETO;24.73;1.4;34.62
300;2021-01-02;placa eletronica;37.34;35.0;1306.9
301;2021-01-02;vidro;21.03;1.0;21.03
302;2021-01-02;chumbo;11.42;8.4;95.93
303;2021-01-02;aço;21.66;5.3;114.8
304;2021-01-02;placa eletronica;42.53;35.0;1488.55
305;2021-01-02;placa eletronica;22.99;35.0;804.65
306;2021-01-02;placa eletronica;36.08;35.0;1262.8
307;2021-01-02;aço;28.45;5.3;150.78
308;2021-01-02;PP BRANCO;19.05;2.2;41.91
309;2021-01-02;PET PEAD;10.96;2.5;27.4
310;2021-01-02;aço;12.9;5.3;68.37
311;2021-01-02;óleo;5.88;1.9;11.17
312;2021-01-02;aço;21.3;5.3;112.89
313;2021-01-02;arquivo;18.31;0.7;12.82
314;2021-01-02;aluminio;13.67;6.2;84.75
315;2021-01-02;latinha;23.48;7.5;176.1
316;2021-01-02;arquivo;10.07;0.7;7.05
317;2021-01-02;PP BRANCO;17.79;2.2;39.14
318;2021-01-02;latinha;20.66;7.5;154.95
319;2021-01-02;PP PRETO;20.91;1.4;29.27
320;2021-01-02;ferro;9.71;1.1;10.68
321;2021-01-02;vidro;13.09;1.0;13.09
322;2021-01-02;bateria;23.11;4.9;113.24
323;2021-01-02;PP CRISTAL;39.32;3.2;125.82
324;2021-01-02;vidro;19.62;1.0;19.62
325;2021-01-02;cobre;22.89;39.2;897.29
326;2021-01-02;placa eletronica;32.26;35.0;1129.1
327;2021-01-02;PET PEAD;15.03;2.5;37.57
328;2021-02-02;PP CRISTAL;1.42;3.2;4.54
329;2021-02-02;bateria;37.61;4.9;184.29
330;2021-02-02;aluminio;24.25;6.2;150.35
331;2021-02-02;aluminio;21.93;6.2;135.97
332;2021-02-02;PP CRISTAL;38.1;3.2;121.92
333;2021-02-02;aluminio;40.13;6.2;248.81
334;2021-02-02;aluminio;0.32;6.2;1.98
335;2021-02-02;chumbo;11.19;8.4;94.0
336;2021-02-02;bloco;3.26;7.9;25.75
337;2021-02-02;PP CRISTAL;34.16;3.2;109.31
338;2021-02-02;bloco;21.85;7.9;172.62
339;2021-02-02;PP BRANCO;6.8;2.2;14.96
340;2021-03-02;PET PEAD;24.56;2.5;61.4
341;2021-03-02;placa eletronica;26.46;35.0;926.1
342;2021-03-02;aço;16.33;5.3;86.55
343;2021-03-02;bateria;15.84;4.9;77.62
344;2021-03-02;latinha;44.48;7.5;333.6
345;2021-03-02;aluminio;9.66;6.2;59.89
346;2021-03-02;vidro;2.65;1.0;2.65
347;2021-03-02;ferro;30.06;1.1;33.07
348;2021-03-02;PP CRISTAL;4.15;3.2;13.28
349;2021-03-02;placa eletronica;4.41;35.0;154.35
350;2021-04-02;arquivo;11.74;0.7;8.22
351;2021-04-02;papelão;17.38;0.8;13.9
352;2021-04-02;óleo;15.0;1.9;28.5
353;2021-04-02;PP CRISTAL;20.29;3.2;64.93
354;2021-04-02;chumbo;35.9;8.4;301.56
355;2021-04-02;cobre;3.96;39.2;155.23
356;2021-04-02;arquivo;9.44;0.7;6.61
357;2021-04-02;alto impacto;3.48;0.9;3.13
358;2021-04-02;PP PRETO;32.88;1.4;46.03
359;2021-04-02;placa eletronica;36.82;35.0;1288.7
360;2021-04-02;PP COLORIDO;30.5;1.4;42.7
361;2021-04-02;ferro;24.51;1.1;26.96
362;2021-04-02;placa eletronica;48.33;35.0;1691.55
363;2021-04-02;PP PRETO;3.26;1.4;4.56
364;2021-04-02;PET PEAD;45.48;2.5;113.7
365;2021-04-02;PP CRISTAL;40.99;3.2;131.17
366;2021-04-02;PET PEAD;4.88;2.5;12.2
367;2021-04-02;PP COLORIDO;38.46;1.4;53.84
368;2021-04-02;cobre;45.37;39.2;1778.5
369;2021-04-02;PET PEAD;49.7;2.5;124.25
370;2021-04-02;PP CRISTAL;25.35;3.2;81.12
371;2021-04-02;bloco;27.65;7.9;218.44
372;2021-05-02;aluminio;22.43;6.2;139.07
373;2021-05-02;chumbo;39.8;8.4;334.32
374;2021-05-02;chumbo;10.47;8.4;87.95
375;2021-05-02;chumbo;20.18;8.4;169.51
376;2021-05-02;chumbo;39.32;8.4;330.29
377;2021-05-02;placa eletronica;40.07;35.0;1402.45
378;2021-05-02;alto impacto;47.09;0.9;42.38
379;2021-05-02;chumbo;16.7;8.4;140.28
380;2021-05-02;placa eletronica;17.02;35.0;595.7
381;2021-05-02;papelão;36.49;0.8;29.19
382;2021-05-02;ferro;19.81;1.1;21.79
383;2021-05-02;PP BRANCO;47.52;2.2;104.54
384;2021-05-02;óleo;26.77;1.9;50.86
385;2021-05-02;aço;7.52;5.3;39.86
386;2021-05-02;PET PEAD;1.63;2.5;4.07
387;2021-05-02;PP COLORIDO;17.03;1.4;23.84
388;2021-05-02;alto impacto;19.87;0.9;17.88
389;2021-05-02;bloco;10.83;7.9;85.56
390;2021-05-02;chumbo;12.24;8.4;102.82
391;2021-05-02;latinha;38.95;7.5;292.12
392;2021-05-02;PP BRANCO;32.61;2.2;71.74
393;2021-05-02;PP CRISTAL;32.25;3.2;103.2
394;2021-05-02;alto impacto;37.21;0.9;33.49
395;2021-05-02;arquivo;15.16;0.7;10.61
396;2021-05-02;chumbo;46.78;8.4;392.95
397;2021-05-02;chumbo;24.48;8.4;205.63
398;2021-05-02;placa eletronica;37.75;35.0;1321.25
399;2021-05-02;óleo;40.23;1.9;76.44
400;2021-08-02;alto impacto;33.03;0.9;29.73
401;2021-08-02;aço;33.25;5.3;176.22
402;2021-08-02;chumbo;6.5;8.4;54.6
403;2021-08-02;cobre;4.11;39.2;161.11
404;2021-08-02;PP PRETO;9.09;1.4;12.73
405;2021-08-02;óleo;49.68;1.9;94.39
406;2021-08-02;chumbo;46.91;8.4;394.04
407;2021-08-02;PP BRANCO;13.84;2.2;30.45
408;2021-08-02;PET PEAD;30.04;2.5;75.1
409;2021-08-02;óleo;16.7;1.9;31.73
410;2021-08-02;arquivo;28.84;0.7;20.19
411;2021-08-02;PP COLORIDO;22.18;1.4;31.05
412;2021-08-02;latinha;17.94;7.5;134.55
413;2021-08-02;placa eletronica;47.95;35.0;1678.25
414;2021-08-02;óleo;5.48;1.9;10.41
415;2021-08-02;vidro;49.61;1.0;49.61
416;2021-08-02;PP PRETO;32.13;1.4;44.98
417;2021-09-02;ferro;42.0;1.1;46.2
418;2021-09-02;PP BRANCO;10.18;2.2;22.4
419;2021-09-02;alto impacto;46.93;0.9;42.24
420;2021-09-02;aço;41.89;5.3;222.02
421;2021-09-02;aluminio;24.52;6.2;152.02
422;2021-09-02;vidro;32.71;1.0;32.71
423;2021-09-02;bateria;13.07;4.9;64.04
424;2021-09-02;cobre;7.43;39.2;291.26
425;2021-09-02;aluminio;4.53;6.2;28.09
426;2021-09-02;bateria;7.81;4.9;38.27
427;2021-09-02;aço;24.78;5.3;131.33
428;2021-09-02;aluminio;30.3;6.2;187.86
429;2021-09-02;ferro;30.02;1.1;33.02
430;2021-09-02;ferro;29.19;1.1;32.11
431;2021-09-02;latinha;37.42;7.5;280.65
432;2021-09-02;ferro;46.77;1.1;51.45
433;2021-09-02;vidro;33.57;1.0;33.57
434;2021-10-02;bateria;25.73;4.9;126.08
435;2021-10-02;ferro;1.14;1.1;1.25
436;2021-10-02;alto impacto;45.54;0.9;40.99
437;2021-10-02;PP BRANCO;5.07;2.2;11.15
438;2021-10-02;PP PRETO;1.22;1.4;1.71
439;2021-10-02;placa eletronica;38.48;35.0;1346.8
440;2021-10-02;aço;19.33;5.3;102.45
441;2021-11-02;PP CRISTAL;3.07;3.2;9.82
442;2021-11-02;papelão;17.79;0.8;14.23
443;2021-11-02;latinha;30.32;7.5;227.4
444;2021-11-02;óleo;38.12;1.9;72.43
445;2021-12-02;PP PRETO;26.76;1.4;37.46
446;2021-12-02;alto impacto;10.67;0.9;9.6
447;2021-12-02;papelão;43.83;0.8;35.06
448;2021-12-02;PET PEAD;37.29;2.5;93.22
449;2021-12-02;óleo;38.74;1.9;73.61
450;2021-12-02;PP PRETO;46.64;1.4;65.3
451;2021-12-02;bloco;22.49;7.9;177.67
452;2021-12-02;PP BRANCO;39.97;2.2;87.93
453;2021-12-02;alto impacto;7.71;0.9;6.94
454;2021-12-02;PP CRISTAL;4.98;3.2;15.94
455;2021-12-02;latinha;15.4;7.5;115.5
456;2021-12-02;PP PRETO;9.41;1.4;13.17
457;2021-12-02;ferro;9.78;1.1;10.76
458;2021-12-02;chumbo;16.58;8.4;139.27
459;2021-12-02;papelão;42.46;0.8;33.97
460;2021-12-02;latinha;48.5;7.5;363.75
461;2021-12-02;papelão;3.42;0.8;2.74
462;2021-12-02;PP BRANCO;6.86;2.2;15.09
463;2021-12-02;chumbo;28.79;8.4;241.84
464;;chumbo;26.39;8.4;221.68
465;;PP CRISTAL;48.96;3.2;156.67
466;;latinha;8.2;7.5;61.5
467;;bloco;44.56;7.9;352.02
468;;latinha;12.79;7.5;95.92
469;;óleo;35.24;1.9;66.96
470;;chumbo;10.39;8.4;87.28
471;;alto impacto;39.75;0.9;35.78
472;;placa eletronica;44.96;35.0;1573.6
473;;PP COLORIDO;41.96;1.4;58.74
474;;latinha;41.05;7.5;307.88
475;;latinha;0.6;7.5;4.5
476;;alto impacto;12.23;0.9;11.01
477;;PP PRETO;18.06;1.4;25.28
478;;arquivo;37.6;0.7;26.32
479;;PP BRANCO;27.19;2.2;59.82
480;;bateria;44.17;4.9;216.43
481;;placa eletronica;8.69;35.0;304.15
482;;aluminio;0.44;6.2;2.73
483;;placa eletronica;9.05;35.0;316.75
484;;PP CRISTAL;2.76;3.2;8.83
485;;óleo;21.49;1.9;40.83
486;;aço;14.99;5.3;79.45
487;;PP COLORIDO;6.91;1.4;9.67
488;;PP BRANCO;7.42;2.2;16.32
489;;papelão;17.26;0.8;13.81
490;;cobre;7.96;39.2;312.03
491;;latinha;3.12;7.5;23.4
492;;ferro;15.16;1.1;16.68
493;;ferro;14.56;1.1;16.02
494;;alto impacto;27.95;0.9;25.16
495;;aço;7.77;5.3;41.18
496;;placa eletronica;48.49;35.0;1697.15
497;;bateria;5.0;4.9;24.5
498;;ferro;34.77;1.1;38.25
499;;latinha;47.77;7.5;358.28
500;;PP CRISTAL;29.61;3.2;94.75
501;;latinha;17.81;7.5;133.57
502;;bateria;11.16;4.9;54.68
503;;PP PRETO;44.59;1.4;62.43
504;;chumbo;27.95;8.4;234.78
505;;alto impacto;34.81;0.9;31.33
506;;latinha;30.88;7.5;231.6
507;;chumbo;6.89;8.4;57.88
508;;arquivo;28.89;0.7;20.22
509;;aluminio;24.67;6.2;152.95
510;;alto impacto;9.38;0.9;8.44
511;;chumbo;49.51;8.4;415.88
512;;arquivo;7.54;0.7;5.28
513;;óleo;8.51;1.9;16.17
514;;alto impacto;19.41;0.9;17.47
515;;ferro;37.38;1.1;41.12
516;;aluminio;35.88;6.2;222.46
517;;aluminio;33.56;6.2;208.07
518;;alto impacto;2.25;0.9;2.02
519;;óleo;33.55;1.9;63.74
520;;bloco;21.72;7.9;171.59
521;;vidro;35.08;1.0;35.08
522;;arquivo;34.12;0.7;23.88
523;;alto impacto;45.91;0.9;41.32
524;;aço;47.8;5.3;253.34
525;;latinha;18.52;7.5;138.9
526;;óleo;22.6;1.9;42.94
527;;alto impacto;12.07;0.9;10.86
528;;alto impacto;24.12;0.9;21.71
529;;aço;42.71;5.3;226.36
530;;placa eletronica;39.01;35.0;1365.35
531;;ferro;14.43;1.1;15.87
532;;vidro;33.41;1.0;33.41
533;;óleo;29.36;1.9;55.78
534;;arquivo;15.6;0.7;10.92
535;;cobre;27.71;39.2;1086.23
536;;papelão;38.41;0.8;30.73
537;;latinha;15.39;7.5;115.43
538;;latinha;7.11;7.5;53.32
539;;ferro;14.95;1.1;16.44
540;;PP PRETO;16.29;1.4;22.81
541;;PET PEAD;49.75;2.5;124.38
542;;PP CRISTAL;44.24;3.2;141.57
543;;placa eletronica;29.38;35.0;1028.3
544;;PP PRETO;14.25;1.4;19.95
545;;PP PRETO;19.18;1.4;26.85
546;;papelão;48.37;0.8;38.7
547;;PP CRISTAL;17.01;3.2;54.43
548;;alto impacto;14.03;0.9;12.63
549;;óleo;25.0;1.9;47.5
550;;bateria;32.94;4.9;161.41
551;;aço;15.02;5.3;79.61
552;;PP BRANCO;38.32;2.2;84.3
553;;PP COLORIDO;18.78;1.4;26.29
554;;PP CRISTAL;45.9;3.2;146.88
555;;alto impacto;18.97;0.9;17.07
556;;bloco;40.79;7.9;322.24
557;;PET PEAD;24.16;2.5;60.4
558;;PET PEAD;44.65;2.5;111.62
559;;aço;44.79;5.3;237.39
560;;ferro;16.86;1.1;18.55
561;;chumbo;45.09;8.4;378.76
562;;PP PRETO;5.49;1.4;7.69
563;;vidro;19.53;1.0;19.53
564;;arquivo;16.0;0.7;11.2
565;;chumbo;32.05;8.4;269.22
566;;aluminio;6.5;6.2;40.3
567;;latinha;22.89;7.5;171.68
568;;chumbo;46.96;8.4;394.46
569;;PP COLORIDO;45.62;1.4;63.87
570;;PP PRETO;32.95;1.4;46.13
571;;PP COLORIDO;36.69;1.4;51.37
572;;aluminio;14.16;6.2;87.79
573;;cobre;2.97;39.2;116.42
574;;latinha;0.8;7.5;6.0
575;;latinha;27.51;7.5;206.32
576;;papelão;4.19;0.8;3.35
577;;vidro;9.25;1.0;9.25
578;;PP PRETO;22.53;1.4;31.54
579;;aço;18.27;5.3;96.83
580;;PP BRANCO;9.64;2.2;21.21
581;;placa eletronica;35.99;35.0;1259.65
582;;óleo;44.23;1.9;84.04
583;;PP COLORIDO;18.47;1.4;25.86
584;;PP CRISTAL;15.75;3.2;50.4
585;;placa eletronica;32.22;35.0;1127.7
586;;alto impacto;2.97;0.9;2.67
587;;bloco;26.83;7.9;211.96
588;;PP BRANCO;37.93;2.2;83.45
589;;PP PRETO;19.36;1.4;27.1
590;;aço;41.84;5.3;221.75
591;;PP CRISTAL;11.62;3.2;37.18
592;2021-01-03;bateria;3.48;5.2;18.1
593;2021-01-03;arquivo;31.22;0.7;21.85
594;2021-01-03;latinha;26.98;8.0;215.84
595;2021-01-03;PP CRISTAL;19.95;3.4;67.83
596;2021-01-03;PP PRETO;13.68;1.3;17.78
597;2021-01-03;placa eletronica;17.66;36.8;649.89
598;2021-01-03;PP COLORIDO;17.02;1.5;25.53
599;2021-01-03;bloco;48.46;7.4;358.6
600;2021-01-03;chumbo;4.79;8.9;42.63
601;2021-01-03;ferro;12.62;1.2;15.14
602;2021-01-03;aluminio;42.63;6.5;277.1
