Data da Compra;Quantidade (kg);Nome do Material;Preço Total (R$);Margem de Lucro (%);Valor de Revenda (R$)
2021-01-03;23.84;vidro;31.95;0.35;42.99
2021-01-03;37.42;aço;262.69;0.38;361.94
2021-01-03;28.26;PET PEAD;98.06;0.33;129.97
2021-01-03;46.11;cobre;2785.51;0.3;3631.01
2021-01-03;16.36;placa eletronica;892.93;0.37;1222.22
2021-01-03;42.75;aluminio;406.98;0.34;545.23
2021-01-03;44.09;PP BRANCO;131.83;0.33;175.98
2021-01-04;12.29;papelão;13.4;0.34;17.99
2021-01-04;40.47;papelão;45.33;0.44;65.37
2021-01-04;15.4;alto impacto;21.41;0.31;27.95
2021-01-04;27.21;papelão;28.57;0.39;39.83
2021-01-04;29.13;cobre;1725.95;0.43;2461.94
2021-01-04;38.3;PP CRISTAL;145.92;0.31;191.05
2021-01-04;20.53;aluminio;197.09;0.41;278.51
2021-01-04;0.65;óleo;1.75;0.41;2.47
2021-01-04;46.89;papelão;51.11;0.42;72.69
2021-01-04;12.45;aço;87.52;0.34;117.54
2021-01-04;41.14;chumbo;418.81;0.45;605.42
2021-01-04;43.95;ferro;70.32;0.32;92.97
2021-01-04;31.32;óleo;85.5;0.35;115.05
2021-01-04;33.08;latinha;366.53;0.39;509.33
2021-01-04;37.96;latinha;422.49;0.45;611.77
2021-01-04;2.36;bateria;16.05;0.34;21.51
2021-01-04;10.78;cobre;663.19;0.32;876.56
2021-01-05;4.54;papelão;4.86;0.44;7.02
2021-01-05;35.47;vidro;46.11;0.34;61.8
2021-01-06;39.66;ferro;66.63;0.35;90.18
2021-01-06;49.42;latinha;544.61;0.43;778.78
2021-01-06;40.16;PP BRANCO;124.5;0.35;167.7
2021-01-06;7.87;papelão;8.5;0.4;11.9
2021-01-06;29.89;óleo;78.01;0.41;109.9
2021-01-06;3.01;aço;21.61;0.44;31.18
2021-01-06;35.98;óleo;97.51;0.39;135.84
2021-01-06;38.53;ferro;60.49;0.45;87.44
2021-01-06;39.66;placa eletronica;2107.93;0.37;2888.8
2021-01-06;5.38;placa eletronica;281.21;0.32;371.52
2021-01-06;4.45;cobre;272.96;0.32;359.09
2021-01-06;48.45;vidro;64.92;0.35;87.94
2021-01-06;6.35;ferro;10.1;0.38;13.97
2021-01-06;37.59;PP COLORIDO;78.56;0.44;113.5
2021-01-06;48.48;aluminio;461.04;0.38;638.5
2021-01-06;10.4;latinha;121.06;0.44;174.44
2021-01-06;22.26;papelão;23.37;0.45;33.85
2021-01-06;16.53;PP CRISTAL;64.47;0.44;92.9
2021-01-06;16.1;aluminio;148.93;0.34;199.03
2021-01-06;23.82;cobre;1384.89;0.41;1946.91
2021-01-06;27.01;chumbo;270.64;0.44;389.68
2021-01-06;39.96;PP PRETO;67.93;0.41;95.58
2021-01-06;10.67;papelão;11.42;0.37;15.67
2021-01-06;14.68;latinha;167.21;0.3;217.64
2021-01-06;38.79;PP PRETO;68.27;0.39;95.1
2021-01-07;21.66;aluminio;202.74;0.42;287.27
2021-01-07;38.7;chumbo;385.84;0.44;556.99
2021-01-07;10.57;PP COLORIDO;20.93;0.44;30.22
2021-01-07;23.65;PP BRANCO;69.29;0.34;92.66
2021-01-07;23.04;PP PRETO;38.94;0.31;51.03
2021-01-07;12.84;placa eletronica;693.49;0.37;952.18
2021-01-07;34.32;latinha;397.08;0.35;536.37
2021-01-07;12.84;PP BRANCO;40.06;0.35;54.22
2021-01-07;41.41;vidro;55.08;0.43;78.58
2021-01-07;8.49;PP COLORIDO;17.4;0.3;22.63
2021-01-07;49.03;chumbo;480.49;0.37;658.32
2021-01-07;42.41;PP BRANCO;129.77;0.31;170.56
2021-01-07;29.19;ferro;49.04;0.41;69.06
2021-01-07;47.92;bateria;322.5;0.44;462.93
2021-01-07;14.98;PET PEAD;49.28;0.45;71.21
2021-01-07;35.9;PET PEAD;117.75;0.41;165.56
2021-01-08;39.27;aço;280.0;0.37;384.52
2021-01-08;24.15;PVC vidro;2691.28;0.33;3567.81
2021-01-08;1.22;PP BRANCO;3.71;0.35;5.0
2021-01-08;47.71;bloco;496.66;0.39;690.98
2021-01-08;26.56;papelão;28.95;0.31;37.83
2021-01-08;19.89;chumbo;206.26;0.37;282.65
2021-01-08;21.67;vidro;29.47;0.32;38.86
2021-01-08;49.23;bateria;322.95;0.42;457.76
2021-01-08;35.97;chumbo;363.3;0.4;509.36
2021-01-09;6.35;papelão;6.79;0.31;8.89
2021-01-09;27.05;óleo;75.2;0.31;98.63
2021-01-09;0.18;vidro;0.24;0.44;0.35
2021-01-09;14.48;óleo;40.11;0.3;52.15
2021-01-09;1.74;vidro;2.42;0.31;3.18
2021-01-09;13.3;PET PEAD;43.36;0.4;60.65
2021-01-09;35.19;cobre;2120.2;0.35;2863.56
2021-01-09;17.27;cobre;995.79;0.36;1358.59
2021-01-09;12.03;papelão;12.75;0.31;16.72
2021-01-09;8.22;PP PRETO;14.55;0.3;18.94
2021-01-09;46.21;aço;347.5;0.41;488.24
2021-01-09;34.09;PVC vidro;3817.74;0.43;5450.52
2021-01-09;3.77;óleo;10.07;0.35;13.54
2021-01-09;3.37;óleo;9.37;0.44;13.45
2021-01-09;27.57;aço;196.85;0.44;283.9
2021-01-09;46.56;papelão;51.22;0.35;69.34
2021-01-09;13.01;PP BRANCO;38.64;0.33;51.39
2021-01-09;27.53;vidro;36.34;0.31;47.47
2021-01-09;46.47;PP PRETO;79.93;0.37;109.18
2021-01-09;49.74;aluminio;486.46;0.4;681.62
2021-01-09;1.99;latinha;22.57;0.33;29.99
2021-01-09;36.31;PP BRANCO;108.57;0.42;153.93
2021-01-10;33.38;PP COLORIDO;68.76;0.42;97.72
2021-01-10;23.87;arquivo;25.3;0.45;36.65
2021-01-10;27.13;papelão;28.49;0.41;40.21
2021-01-10;18.3;chumbo;178.97;0.44;258.14
2021-01-10;21.47;PP PRETO;38.0;0.34;50.95
2021-01-10;43.67;papelão;47.16;0.43;67.24
2021-01-10;14.35;óleo;39.46;0.38;54.44
2021-01-10;13.05;ferro;21.01;0.38;28.89
2021-01-10;38.14;PP BRANCO;118.62;0.35;160.68
2021-01-10;8.8;óleo;23.67;0.36;32.2
2021-01-10;9.08;aluminio;84.17;0.39;117.29
2021-01-10;35.34;PP BRANCO;108.49;0.4;152.17
2021-01-10;31.59;PP CRISTAL;124.78;0.43;178.12
2021-01-10;12.01;aço;84.79;0.42;120.02
2021-01-10;19.24;alto impacto;25.97;0.31;33.92
2021-01-10;2.83;PP BRANCO;8.52;0.39;11.88
2021-01-11;5.36;PP BRANCO;15.92;0.38;22.05
2021-01-11;29.92;ferro;49.37;0.43;70.6
2021-01-11;22.28;vidro;30.75;0.34;41.34
2021-01-11;34.65;vidro;47.82;0.42;67.92
2021-01-11;12.97;arquivo;14.27;0.36;19.37
2021-01-11;8.83;ferro;14.48;0.36;19.74
2021-01-11;9.22;alto impacto;12.63;0.31;16.58
2021-01-11;5.26;PP COLORIDO;10.47;0.39;14.54
2021-01-11;11.09;PP PRETO;18.85;0.34;25.34
2021-01-11;3.74;PP PRETO;6.51;0.43;9.33
2021-01-11;25.22;aluminio;245.39;0.33;325.41
2021-01-11;26.71;papelão;28.31;0.36;38.48
2021-01-11;14.28;ferro;23.85;0.33;31.77
2021-01-11;48.57;alto impacto;65.08;0.37;88.92
2021-01-11;35.48;aluminio;345.93;0.39;479.34
2021-01-11;26.86;PP CRISTAL;107.98;0.43;154.68
2021-01-11;1.84;vidro;2.47;0.35;3.33
2021-01-11;35.85;PP PRETO;61.66;0.33;82.28
2021-01-12;28.5;PP COLORIDO;59.56;0.31;78.3
2021-01-12;16.61;PP BRANCO;50.33;0.37;69.08
2021-01-12;43.51;alto impacto;57.43;0.32;75.66
2021-01-12;5.32;PP COLORIDO;11.07;0.43;15.86
2021-01-12;42.58;PVC vidro;4613.97;0.44;6650.08
2021-01-12;38.96;PVC vidro;4230.28;0.38;5845.0
2021-01-12;33.02;PVC vidro;3539.74;0.33;4692.01
2021-01-12;40.09;vidro;52.52;0.41;74.12
2021-01-12;1.14;PP CRISTAL;4.33;0.44;6.23
2021-01-12;39.27;PP BRANCO;122.92;0.37;168.69
2021-01-12;10.16;aço;73.36;0.42;104.1
2021-01-12;35.43;PP CRISTAL;141.01;0.32;186.63
2021-01-12;33.74;vidro;45.89;0.36;62.49
2021-01-12;36.77;papelão;38.98;0.33;52.0
2021-01-12;8.8;latinha;99.0;0.38;136.72
2021-01-12;37.7;cobre;2257.85;0.39;3147.78
2021-01-12;42.24;PP PRETO;74.34;0.32;98.25
2021-01-12;31.56;PP COLORIDO;65.33;0.36;89.0
2021-01-12;16.1;PP COLORIDO;32.36;0.42;45.82
2021-01-12;3.53;aluminio;32.76;0.44;47.11
2021-01-12;29.11;papelão;31.73;0.32;41.77
2021-01-12;33.88;latinha;393.69;0.42;557.9
2021-01-12;7.04;PP PRETO;12.25;0.45;17.7
2021-01-12;40.07;PP CRISTAL;159.88;0.42;227.14
2021-01-12;0.88;ferro;1.44;0.37;1.97
2021-01-12;36.38;placa eletronica;1906.68;0.35;2566.9
2021-01-13;46.5;latinha;513.36;0.42;730.8
2021-01-13;10.1;PP COLORIDO;19.8;0.33;26.43
2021-01-13;7.2;PP BRANCO;22.1;0.35;29.93
2021-01-13;33.22;PP BRANCO;97.67;0.35;131.94
2021-01-13;16.1;PP BRANCO;47.98;0.3;62.61
2021-01-13;1.82;vidro;2.48;0.37;3.4
2021-01-13;23.15;bateria;155.34;0.31;203.31
2021-01-13;3.32;chumbo;32.9;0.43;46.9
2021-01-13;3.79;ferro;6.06;0.41;8.52
2021-01-13;34.79;alto impacto;46.62;0.42;66.03
2021-01-13;43.32;PP CRISTAL;170.25;0.32;224.89
2021-01-13;38.74;aluminio;379.65;0.39;529.51
2021-01-13;9.05;placa eletronica;471.41;0.32;620.11
2021-01-13;34.39;PP PRETO;59.84;0.34;80.27
2021-01-14;15.42;cobre;888.81;0.45;1285.06
2021-01-14;19.63;bloco;201.6;0.44;290.37
2021-01-15;7.14;aluminio;69.61;0.4;97.24
2021-01-15;35.1;óleo;91.61;0.4;128.39
2021-01-15;43.89;latinha;500.78;0.37;683.83
2021-01-15;11.41;papelão;12.32;0.34;16.46
2021-01-15;20.21;bloco;209.38;0.39;291.52
2021-01-15;8.04;bateria;52.58;0.39;73.22
2021-01-15;18.06;PP CRISTAL;72.6;0.33;96.67
2021-01-15;33.95;latinha;386.01;0.4;540.52
2021-01-15;3.71;latinha;40.66;0.3;52.94
2021-01-15;41.16;PP COLORIDO;82.73;0.39;114.83
2021-01-15;0.31;PET PEAD;1.07;0.4;1.5
2021-01-15;8.05;PVC vidro;869.48;0.42;1237.51
2021-01-15;16.68;ferro;28.02;0.39;38.98
2021-01-15;49.21;alto impacto;66.43;0.37;90.91
2021-01-15;38.03;PET PEAD;124.74;0.43;178.43
2021-01-15;15.95;latinha;178.48;0.42;254.07
2021-01-15;36.49;PP PRETO;64.95;0.45;93.99
2021-01-15;8.16;papelão;8.49;0.32;11.2
2021-01-15;41.15;vidro;57.61;0.43;82.21
2021-01-15;24.24;bateria;164.59;0.4;230.71
2021-01-15;35.75;PET PEAD;118.69;0.43;169.83
2021-01-15;12.12;bateria;78.78;0.43;112.96
2021-01-15;22.66;bloco;248.58;0.42;353.94
2021-01-15;42.11;cobre;2466.38;0.34;3315.75
2021-01-15;34.67;arquivo;36.75;0.32;48.45
2021-01-15;6.4;vidro;8.58;0.38;11.84
2021-01-15;43.43;PP COLORIDO;90.33;0.32;119.67
2021-01-15;17.32;PET PEAD;59.75;0.35;80.96
2021-01-15;26.63;chumbo;266.57;0.43;380.12
2021-01-16;37.32;PP COLORIDO;75.76;0.42;107.92
2021-01-16;15.34;PP CRISTAL;60.59;0.35;82.01
2021-01-16;17.3;papelão;18.34;0.34;24.61
2021-01-16;46.78;papelão;50.52;0.35;68.01
2021-01-16;16.08;PVC vidro;1776.84;0.32;2344.76
2021-01-16;15.74;cobre;958.09;0.43;1372.86
2021-01-16;24.09;aço;180.92;0.31;236.73
2021-01-16;21.23;óleo;58.59;0.31;76.5
2021-01-16;20.3;PVC vidro;2160.33;0.39;2997.85
2021-01-17;20.35;PP BRANCO;63.9;0.3;83.14
2021-01-17;7.01;vidro;9.25;0.44;13.33
2021-01-17;26.14;cobre;1593.23;0.45;2307.07
2021-01-17;41.22;bloco;429.51;0.37;588.37
2021-01-17;8.01;PP BRANCO;24.91;0.39;34.67
2021-01-17;21.94;PP COLORIDO;45.42;0.38;62.58
2021-01-17;15.15;óleo;41.21;0.43;58.76
2021-01-17;18.72;ferro;29.76;0.39;41.3
2021-01-17;4.28;chumbo;41.86;0.33;55.64
2021-01-17;28.21;bloco;300.44;0.36;408.12
2021-01-17;12.3;bateria;80.07;0.44;114.95
2021-01-17;18.78;PVC vidro;1959.51;0.43;2795.71
2021-01-17;15.11;vidro;20.4;0.31;26.81
2021-01-17;28.48;papelão;31.61;0.4;44.23
2021-01-17;39.65;PVC vidro;4386.08;0.39;6077.84
2021-01-17;9.36;cobre;575.17;0.43;822.75
2021-01-17;45.09;arquivo;47.34;0.43;67.86
2021-01-17;26.14;cobre;1526.84;0.38;2099.75
2021-01-17;21.24;bloco;224.29;0.41;317.33
2021-01-17;3.12;placa eletronica;172.38;0.33;228.76
2021-01-18;28.95;aço;206.12;0.45;298.81
2021-01-18;14.23;cobre;837.58;0.32;1108.18
2021-01-18;0.98;PET PEAD;3.27;0.38;4.5
2021-01-18;11.18;PP COLORIDO;23.14;0.32;30.54
2021-01-18;49.6;bloco;532.21;0.38;736.86
2021-01-18;43.14;aluminio;392.57;0.34;526.99
2021-01-18;16.27;aço;116.98;0.34;157.32
2021-01-18;20.4;alto impacto;27.34;0.36;37.08
2021-01-18;48.04;arquivo;51.4;0.44;73.82
2021-01-18;32.56;aluminio;309.65;0.41;436.58
2021-01-18;49.39;PP COLORIDO;97.79;0.31;128.28
2021-01-18;34.54;PVC vidro;3785.93;0.38;5233.76
2021-01-18;17.01;óleo;44.4;0.42;62.93
2021-01-19;39.25;PP PRETO;69.86;0.36;95.12
2021-01-19;49.92;alto impacto;66.39;0.41;93.46
2021-01-19;41.57;alto impacto;58.2;0.38;80.5
2021-01-19;39.14;óleo;102.55;0.42;145.19
2021-01-19;37.81;óleo;103.22;0.41;145.48
2021-01-19;2.83;aço;21.28;0.39;29.66
2021-01-20;10.51;vidro;14.08;0.34;18.88
2021-01-20;27.78;aluminio;266.69;0.36;363.28
2021-01-20;18.6;aço;139.69;0.36;189.72
2021-01-20;23.79;vidro;31.4;0.44;45.09
2021-01-21;4.56;PP BRANCO;14.32;0.44;20.68
2021-01-21;31.73;PP BRANCO;98.36;0.41;138.94
2021-01-21;24.56;PET PEAD;84.98;0.39;118.46
2021-01-21;18.68;bloco;206.41;0.41;290.13
2021-01-21;11.98;óleo;32.35;0.37;44.45
2021-01-21;13.27;PP BRANCO;40.74;0.43;58.35
2021-01-21;15.12;PP PRETO;27.37;0.43;39.18
2021-01-21;40.11;arquivo;43.72;0.43;62.43
2021-01-21;7.41;placa eletronica;410.22;0.31;538.53
2021-01-21;19.21;cobre;1152.79;0.44;1658.25
2021-01-21;8.7;alto impacto;11.74;0.39;16.29
2021-01-21;34.66;bateria;239.15;0.42;340.53
2021-01-21;45.58;arquivo;50.59;0.32;66.61
2021-01-21;20.36;cobre;1191.47;0.36;1621.56
2021-01-21;37.1;arquivo;41.55;0.38;57.43
2021-01-21;12.56;placa eletronica;669.82;0.41;947.05
2021-01-21;31.35;PP BRANCO;97.19;0.37;133.49
2021-01-21;40.73;bateria;283.48;0.35;382.65
2021-01-21;43.86;PP COLORIDO;86.4;0.42;122.62
2021-01-21;4.79;bateria;33.39;0.39;46.54
2021-01-21;38.16;PET PEAD;125.55;0.43;179.93
2021-01-21;44.61;PP PRETO;80.74;0.45;116.88
2021-01-21;27.94;PP PRETO;48.34;0.44;69.78
2021-01-21;20.32;PP PRETO;34.54;0.32;45.52
2021-01-21;0.87;PP COLORIDO;1.79;0.37;2.45
2021-01-21;9.33;PP CRISTAL;37.13;0.37;50.77
2021-01-21;34.45;bateria;225.3;0.32;297.94
2021-01-21;11.24;vidro;15.06;0.42;21.32
2021-01-21;18.0;alto impacto;23.58;0.33;31.27
2021-01-21;44.81;aluminio;434.21;0.44;623.95
2021-01-22;6.88;aço;48.44;0.41;68.5
2021-01-22;42.79;latinha;477.11;0.31;624.7
2021-01-22;41.16;latinha;466.75;0.42;660.86
2021-01-22;15.23;PET PEAD;51.33;0.42;72.87
2021-01-22;5.4;vidro;7.02;0.31;9.17
2021-01-22;10.0;bateria;69.1;0.41;97.23
2021-01-22;8.65;ferro;13.58;0.36;18.47
2021-01-22;44.64;óleo;116.96;0.31;152.74
2021-01-22;3.89;PP COLORIDO;7.78;0.38;10.74
2021-01-22;0.52;cobre;32.17;0.41;45.35
2021-01-22;22.64;PVC vidro;2364.3;0.37;3229.92
2021-01-22;19.79;alto impacto;27.31;0.33;36.36
2021-01-22;9.34;PP CRISTAL;36.52;0.39;50.65
2021-01-22;31.24;placa eletronica;1624.48;0.38;2237.82
2021-01-22;23.52;chumbo;245.31;0.4;343.52
2021-01-23;31.15;papelão;33.64;0.36;45.71
2021-01-23;41.46;PP BRANCO;127.28;0.39;176.69
2021-01-23;22.08;PVC vidro;2307.14;0.33;3072.86
2021-01-23;1.29;PP CRISTAL;4.99;0.42;7.1
2021-01-23;41.87;arquivo;44.8;0.39;62.15
2021-01-23;11.51;ferro;17.96;0.34;24.14
2021-01-23;4.47;alto impacto;6.12;0.45;8.87
2021-01-23;46.09;aço;335.07;0.44;481.59
2021-01-23;0.16;placa eletronica;8.76;0.32;11.56
2021-01-23;48.1;PP COLORIDO;96.68;0.32;127.48
2021-01-23;1.37;chumbo;14.25;0.3;18.54
2021-01-23;33.65;PVC vidro;3682.66;0.33;4913.72
2021-01-23;15.11;PP BRANCO;45.33;0.37;62.21
2021-01-23;11.39;PP COLORIDO;23.24;0.37;31.83
2021-01-24;29.8;PP BRANCO;91.78;0.38;126.83
2021-01-24;33.24;papelão;35.9;0.43;51.37
2021-01-24;24.14;PP BRANCO;74.11;0.36;101.06
2021-01-24;17.83;chumbo;180.8;0.38;250.38
2021-01-24;0.8;chumbo;8.26;0.4;11.58
2021-01-24;13.55;latinha;152.17;0.41;213.96
2021-01-24;37.37;aluminio;349.04;0.37;476.54
2021-01-24;35.12;bloco;372.97;0.33;496.08
2021-01-24;12.42;PP BRANCO;37.14;0.38;51.1
2021-01-24;34.11;PET PEAD;117.0;0.31;153.49
2021-01-24;14.69;arquivo;15.72;0.36;21.37
2021-01-25;19.17;PP PRETO;34.89;0.36;47.41
2021-01-25;36.72;PP COLORIDO;73.07;0.3;95.26
2021-01-25;17.75;ferro;28.76;0.44;41.48
2021-01-25;24.83;placa eletronica;1312.02;0.43;1880.92
2021-01-25;45.86;alto impacto;60.99;0.37;83.58
2021-01-25;44.71;PP COLORIDO;92.1;0.38;126.8
2021-01-25;0.19;PET PEAD;0.65;0.36;0.89
2021-01-25;29.36;cobre;1774.52;0.32;2344.33
2021-01-25;44.39;latinha;512.26;0.35;692.4
2021-01-25;43.82;PET PEAD;144.17;0.34;193.73
2021-01-25;37.82;arquivo;41.98;0.34;56.27
2021-01-25;27.94;aço;209.55;0.44;302.69
2021-01-25;16.01;PP PRETO;28.66;0.33;38.1
2021-01-25;29.73;vidro;38.95;0.31;51.19
2021-01-25;16.68;bloco;180.98;0.31;237.83
2021-01-25;20.06;PP BRANCO;60.98;0.43;87.2
2021-01-25;18.12;aluminio;172.14;0.4;241.17
2021-01-25;26.28;bateria;180.28;0.42;255.16
2021-01-25;30.96;latinha;343.35;0.33;458.07
2021-01-25;18.76;alto impacto;24.95;0.35;33.71
2021-01-25;32.94;PET PEAD;107.38;0.31;140.75
2021-01-25;13.94;chumbo;138.98;0.35;188.31
2021-01-25;20.19;placa eletronica;1096.92;0.35;1477.21
2021-01-25;40.68;alto impacto;56.14;0.45;81.23
2021-01-25;43.48;aço;314.36;0.36;428.51
2021-01-25;23.94;papelão;25.14;0.35;33.95
2021-01-26;0.92;PP BRANCO;2.84;0.42;4.02
2021-01-26;19.3;cobre;1138.89;0.35;1531.99
2021-01-26;47.75;PET PEAD;162.83;0.32;215.64
2021-01-26;0.21;PP BRANCO;0.65;0.4;0.91
2021-01-26;15.34;vidro;20.86;0.3;27.21
2021-01-26;36.99;ferro;59.92;0.4;83.7
2021-01-26;1.36;vidro;1.89;0.36;2.56
2021-01-26;46.45;chumbo;476.58;0.4;668.43
2021-01-26;23.82;chumbo;247.97;0.36;336.61
2021-01-26;16.09;placa eletronica;864.19;0.31;1128.2
2021-01-26;23.43;PP COLORIDO;47.56;0.37;65.33
2021-01-27;6.2;PP BRANCO;19.03;0.44;27.46
2021-01-27;4.18;PP CRISTAL;16.18;0.42;22.97
2021-01-27;33.63;aço;251.55;0.32;331.17
2021-01-27;26.51;bateria;176.29;0.41;249.05
2021-01-27;47.54;ferro;76.06;0.36;103.2
2021-01-27;5.84;cobre;355.6;0.35;479.05
2021-01-27;22.89;PET PEAD;76.91;0.42;109.49
2021-01-27;6.65;placa eletronica;348.33;0.43;498.65
2021-01-27;5.84;vidro;8.0;0.37;10.99
2021-01-27;43.65;PET PEAD;145.79;0.39;202.09
2021-01-27;43.28;cobre;2544.86;0.35;3447.46
2021-01-27;30.3;placa eletronica;1634.69;0.42;2323.5
2021-01-27;36.87;óleo;98.07;0.37;134.77
2021-01-27;18.22;bateria;119.34;0.35;160.92
2021-01-27;5.1;placa eletronica;269.38;0.42;381.74
2021-01-27;5.18;PET PEAD;16.99;0.36;23.03
2021-01-28;40.45;ferro;67.55;0.37;92.64
2021-01-28;34.08;chumbo;352.73;0.32;465.54
2021-01-28;37.43;bloco;387.77;0.34;519.76
2021-01-28;10.25;papelão;10.97;0.32;14.5
2021-01-28;29.04;aluminio;265.14;0.41;373.12
2021-01-29;17.99;PP BRANCO;53.43;0.37;73.04
2021-01-29;25.25;PP COLORIDO;51.51;0.31;67.66
2021-01-29;44.37;aluminio;424.62;0.36;575.52
2021-01-29;47.02;PET PEAD;161.28;0.38;222.71
2021-01-29;40.26;PP COLORIDO;80.92;0.32;107.14
2021-01-29;30.88;vidro;42.31;0.38;58.39
2021-01-29;37.51;cobre;2315.49;0.31;3027.49
2021-01-29;38.5;cobre;2316.93;0.38;3202.38
2021-01-29;26.17;chumbo;260.39;0.41;367.49
2021-01-29;41.02;PP PRETO;72.61;0.3;94.54
2021-01-29;6.61;PP CRISTAL;26.11;0.31;34.15
2021-01-29;33.75;arquivo;35.77;0.45;51.82
2021-01-30;20.97;PP CRISTAL;84.93;0.42;120.43
2021-01-30;9.19;bateria;63.04;0.33;84.03
2021-01-30;46.95;placa eletronica;2592.11;0.36;3534.03
2021-01-30;10.44;latinha;119.43;0.45;172.93
2021-01-30;27.35;aço;199.38;0.33;264.39
2021-01-30;17.55;PP CRISTAL;69.32;0.31;91.13
2021-01-30;30.91;ferro;49.46;0.37;67.68
2021-01-30;40.0;PET PEAD;138.4;0.3;180.61
2021-01-30;18.0;óleo;46.8;0.37;64.1
2021-01-30;23.8;arquivo;26.42;0.45;38.22
2021-01-30;10.93;PP PRETO;19.56;0.44;28.09
2021-01-30;6.5;papelão;7.02;0.37;9.65
2021-01-30;32.74;PET PEAD;110.33;0.44;158.79
2021-01-30;10.82;alto impacto;14.17;0.4;19.8
2021-01-30;2.53;PP BRANCO;7.74;0.34;10.39
2021-01-30;15.82;PET PEAD;53.31;0.44;76.77
2021-01-30;29.31;óleo;77.09;0.4;108.14
2021-01-30;16.8;PP CRISTAL;64.68;0.31;84.44
2021-01-30;8.4;aço;61.24;0.34;81.9
2021-01-30;35.01;bateria;233.87;0.3;304.05
2021-01-30;40.15;PP CRISTAL;161.0;0.33;214.23
2021-01-30;15.45;PP BRANCO;47.28;0.41;66.84
2021-01-30;36.94;latinha;408.56;0.32;541.04
2021-01-30;0.73;alto impacto;0.99;0.44;1.43
2021-01-30;18.44;PET PEAD;60.3;0.3;78.49
2021-01-30;1.63;arquivo;1.71;0.45;2.47
2021-01-30;10.82;PVC vidro;1184.79;0.37;1621.13
2021-01-30;15.98;PVC vidro;1771.06;0.39;2453.39
2021-01-30;26.42;PP BRANCO;81.11;0.39;112.91
2021-01-31;37.73;PP CRISTAL;143.37;0.33;190.29
2021-01-31;9.52;ferro;15.8;0.31;20.63
2021-01-31;40.85;óleo;107.44;0.41;151.48
2021-01-31;0.78;aço;5.73;0.37;7.84
2021-02-01;23.73;PP BRANCO;72.14;0.36;98.46
2021-02-01;31.57;papelão;33.78;0.41;47.8
2021-02-01;1.85;latinha;20.91;0.36;28.54
