ID da Compra;Data da Compra;Nome do Material;Quantidade (kg);Preço por kg (R$)
137;15/01/2021;chumbo;38.37;7.9
138;15/01/2021;cobre;12.4;41.6
139;15/01/2021;vidro;10.98;0.9
140;15/01/2021;óleo;36.8;2.1
141;15/01/2021;óleo;39.82;2.1
142;18/01/2021;alto impacto;25.22;0.9
143;18/01/2021;papelão;1.06;0.8
144;18/01/2021;aço;11.86;5.6
145;18/01/2021;aluminio;27.53;6.5
146;18/01/2021;aço;37.96;5.6
147;18/01/2021;latinha;43.41;7.9
148;18/01/2021;PP COLORIDO;1.54;1.5
149;18/01/2021;óleo;30.4;2.1
150;18/01/2021;chumbo;11.9;7.9
151;18/01/2021;papelão;15.69;0.8
152;18/01/2021;cobre;37.03;41.6
153;19/01/2021;vidro;46.02;0.9
154;19/01/2021;aço;42.83;5.6
155;19/01/2021;PP COLORIDO;1.74;1.5
156;19/01/2021;papelão;31.63;0.8
157;19/01/2021;placa eletronica;22.04;37.5
158;19/01/2021;ferro;28.98;1.1
159;19/01/2021;vidro;7.61;0.9
160;19/01/2021;PP PRETO;36.53;1.3
161;19/01/2021;bloco;43.74;8.4
162;19/01/2021;PP COLORIDO;14.63;1.5
163;19/01/2021;PP PRETO;20.22;1.3
164;19/01/2021;PET PEAD;42.22;2.6
165;19/01/2021;chumbo;35.69;7.9
166;19/01/2021;placa eletronica;9.42;37.5
167;19/01/2021;aluminio;41.92;6.5
168;19/01/2021;bloco;36.65;8.4
169;19/01/2021;PET PEAD;44.24;2.6
170;19/01/2021;cobre;10.97;41.6
171;19/01/2021;aluminio;43.91;6.5
172;19/01/2021;latinha;35.74;7.9
173;19/01/2021;aluminio;31.45;6.5
174;19/01/2021;PP CRISTAL;47.26;3
175;19/01/2021;aluminio;31.34;6.5
176;19/01/2021;bateria;45.99;5.2
177;19/01/2021;arquivo;7.14;0.7
178;19/01/2021;PP BRANCO;41.16;2.3
179;20/01/2021;PP COLORIDO;16.14;1.5
180;20/01/2021;PP BRANCO;46.2;2.3
181;20/01/2021;aço;30.5;5.6
182;20/01/2021;ferro;33.8;1.1
183;20/01/2021;arquivo;22.86;0.7
184;20/01/2021;vidro;24.5;0.9
185;20/01/2021;cobre;27.82;41.6
186;20/01/2021;bloco;3.32;8.4
187;20/01/2021;bloco;25.62;8.4
188;21/01/2021;aluminio;47.39;6.5
189;21/01/2021;óleo;2.23;2.1
190;21/01/2021;aluminio;21.97;6.5
191;21/01/2021;PP BRANCO;16.1;2.3
192;21/01/2021;chumbo;44.15;7.9
193;21/01/2021;aluminio;23.42;6.5
194;21/01/2021;PP COLORIDO;44.71;1.5
195;21/01/2021;ferro;32.56;1.1
196;21/01/2021;PP CRISTAL;39.66;3
197;21/01/2021;placa eletronica;19.74;37.5
198;21/01/2021;aço;46.6;5.6
199;22/01/2021;PP PRETO;28.67;1.3
200;22/01/2021;óleo;28.14;2.1
201;22/01/2021;PET PEAD;42.12;2.6
202;22/01/2021;alto impacto;30.88;0.9
203;22/01/2021;alto impacto;17.5;0.9
204;22/01/2021;papelão;39.01;0.8
205;22/01/2021;latinha;31.35;7.9
206;22/01/2021;PP BRANCO;37.15;2.3
207;25/01/2021;PP PRETO;15.32;1.3
208;25/01/2021;PP PRETO;43.03;1.3
209;25/01/2021;vidro;45.77;0.9
210;25/01/2021;PET PEAD;0.19;2.6
211;25/01/2021;arquivo;29.54;0.7
212;25/01/2021;bateria;14.39;5.2
213;25/01/2021;bloco;19.8;8.4
214;25/01/2021;cobre;10.96;41.6
215;25/01/2021;aluminio;15.25;6.5
216;25/01/2021;PET PEAD;14.89;2.6
217;25/01/2021;cobre;13.6;41.6
218;25/01/2021;latinha;1.65;7.9
219;25/01/2021;PP COLORIDO;11.18;1.5
220;25/01/2021;PP COLORIDO;43.12;1.5
221;26/01/2021;aluminio;49.72;6.5
222;26/01/2021;bloco;31.92;8.4
223;26/01/2021;cobre;32.1;41.6
224;26/01/2021;latinha;12.48;7.9
225;26/01/2021;placa eletronica;29.61;37.5
226;26/01/2021;latinha;17.67;7.9
227;26/01/2021;alto impacto;8.14;0.9
228;26/01/2021;papelão;26.2;0.8
229;26/01/2021;PP CRISTAL;42.33;3
230;26/01/2021;PET PEAD;7.56;2.6
231;26/01/2021;arquivo;15.87;0.7
232;26/01/2021;bateria;46.57;5.2
233;26/01/2021;PET PEAD;44.84;2.6
234;26/01/2021;cobre;41.66;41.6
235;26/01/2021;PP CRISTAL;26.99;3
236;26/01/2021;cobre;15.56;41.6
237;26/01/2021;PET PEAD;38.72;2.6
238;26/01/2021;latinha;22.05;7.9
239;26/01/2021;bloco;17.16;8.4
240;26/01/2021;óleo;42.01;2.1
241;26/01/2021;bateria;29.1;5.2
242;26/01/2021;óleo;37.22;2.1
243;26/01/2021;PP PRETO;47.75;1.3
244;26/01/2021;bateria;39.82;5.2
245;26/01/2021;PP PRETO;23.18;1.3
246;26/01/2021;latinha;23.92;7.9
247;26/01/2021;PP BRANCO;25.47;2.3
248;26/01/2021;papelão;8.82;0.8
249;26/01/2021;aluminio;1.22;6.5
250;27/01/2021;PP BRANCO;27.31;2.3
251;27/01/2021;placa eletronica;40.14;37.5
252;27/01/2021;PP PRETO;49.06;1.3
253;27/01/2021;ferro;44.71;1.1
254;27/01/2021;alto impacto;19.5;0.9
255;27/01/2021;papelão;41.55;0.8
256;27/01/2021;arquivo;30.15;0.7
257;27/01/2021;ferro;11.26;1.1
258;27/01/2021;bloco;38.94;8.4
259;27/01/2021;alto impacto;30.76;0.9
260;27/01/2021;aço;13.11;5.6
261;27/01/2021;alto impacto;39.98;0.9
262;27/01/2021;ferro;8.52;1.1
263;27/01/2021;alto impacto;30.85;0.9
264;27/01/2021;bateria;44.2;5.2
265;27/01/2021;vidro;46.52;0.9
266;28/01/2021;PP CRISTAL;34.9;3
267;28/01/2021;PP PRETO;7.79;1.3
268;28/01/2021;PP CRISTAL;3.48;3
269;28/01/2021;alto impacto;33.58;0.9
270;28/01/2021;PP PRETO;38.21;1.3
271;28/01/2021;aluminio;48.96;6.5
272;29/01/2021;PP COLORIDO;9.92;1.5
273;29/01/2021;PP BRANCO;7.97;2.3
274;29/01/2021;aluminio;4.1;6.5
275;29/01/2021;PP BRANCO;33.07;2.3
276;29/01/2021;PET PEAD;42.25;2.6
277;29/01/2021;PET PEAD;7.03;2.6
278;29/01/2021;óleo;33.63;2.1
279;29/01/2021;bloco;7.43;8.4
280;29/01/2021;placa eletronica;8.73;37.5
281;29/01/2021;vidro;27.21;0.9
282;29/01/2021;ferro;10.85;1.1
283;29/01/2021;bateria;15.18;5.2
284;29/01/2021;óleo;0.56;2.1
285;29/01/2021;papelão;31.67;0.8
286;29/01/2021;PP PRETO;11.28;1.3
287;29/01/2021;aço;9.08;5.6
288;29/01/2021;aluminio;35.89;6.5
289;29/01/2021;ferro;4.36;1.1
290;29/01/2021;chumbo;34.36;7.9
291;29/01/2021;vidro;13.56;0.9
292;29/01/2021;bloco;39.07;8.4
293;29/01/2021;cobre;40.44;41.6
294;29/01/2021;PET PEAD;9.86;2.6
295;29/01/2021;vidro;42.1;0.9
296;29/01/2021;vidro;30.22;0.9
297;29/01/2021;vidro;35.48;0.9
298;29/01/2021;alto impacto;30.94;0.9
299;01/02/2021;PP PRETO;24.73;1.4
300;01/02/2021;placa eletronica;37.34;35
301;01/02/2021;vidro;21.03;1
302;01/02/2021;chumbo;11.42;8.4
303;01/02/2021;aço;21.66;5.3
304;01/02/2021;placa eletronica;42.53;35
305;01/02/2021;placa eletronica;22.99;35
306;01/02/2021;placa eletronica;36.08;35
307;01/02/2021;aço;28.45;5.3
308;01/02/2021;PP BRANCO;19.05;2.2
309;01/02/2021;PET PEAD;10.96;2.5
310;01/02/2021;aço;12.9;5.3
311;01/02/2021;óleo;5.88;1.9
312;01/02/2021;aço;21.3;5.3
313;01/02/2021;arquivo;18.31;0.7
314;01/02/2021;aluminio;13.67;6.2
315;01/02/2021;latinha;23.48;7.5
316;01/02/2021;arquivo;10.07;0.7
317;01/02/2021;PP BRANCO;17.79;2.2
318;01/02/2021;latinha;20.66;7.5
319;01/02/2021;PP PRETO;20.91;1.4
320;01/02/2021;ferro;9.71;1.1
321;01/02/2021;vidro;13.09;1
322;01/02/2021;bateria;23.11;4.9
323;01/02/2021;PP CRISTAL;39.32;3.2
324;01/02/2021;vidro;19.62;1
325;01/02/2021;cobre;22.89;39.2
326;01/02/2021;placa eletronica;32.26;35
327;01/02/2021;PET PEAD;15.03;2.5
328;02/02/2021;PP CRISTAL;1.42;3.2
329;02/02/2021;bateria;37.61;4.9
330;02/02/2021;aluminio;24.25;6.2
331;02/02/2021;aluminio;21.93;6.2
332;02/02/2021;PP CRISTAL;38.1;3.2
333;02/02/2021;aluminio;40.13;6.2
334;02/02/2021;aluminio;0.32;6.2
335;02/02/2021;chumbo;11.19;8.4
336;02/02/2021;bloco;3.26;7.9
337;02/02/2021;PP CRISTAL;34.16;3.2
338;02/02/2021;bloco;21.85;7.9
339;02/02/2021;PP BRANCO;6.8;2.2
340;03/02/2021;PET PEAD;24.56;2.5
341;03/02/2021;placa eletronica;26.46;35
342;03/02/2021;aço;16.33;5.3
343;03/02/2021;bateria;15.84;4.9
344;03/02/2021;latinha;44.48;7.5
345;03/02/2021;aluminio;9.66;6.2
346;03/02/2021;vidro;2.65;1
347;03/02/2021;ferro;30.06;1.1
348;03/02/2021;PP CRISTAL;4.15;3.2
349;03/02/2021;placa eletronica;4.41;35
350;04/02/2021;arquivo;11.74;0.7
351;04/02/2021;papelão;17.38;0.8
352;04/02/2021;óleo;15;1.9
353;04/02/2021;PP CRISTAL;20.29;3.2
354;04/02/2021;chumbo;35.9;8.4
355;04/02/2021;cobre;3.96;39.2
356;04/02/2021;arquivo;9.44;0.7
357;04/02/2021;alto impacto;3.48;0.9
358;04/02/2021;PP PRETO;32.88;1.4
359;04/02/2021;placa eletronica;36.82;35
360;04/02/2021;PP COLORIDO;30.5;1.4
361;04/02/2021;ferro;24.51;1.1
362;04/02/2021;placa eletronica;48.33;35
363;04/02/2021;PP PRETO;3.26;1.4
364;04/02/2021;PET PEAD;45.48;2.5
365;04/02/2021;PP CRISTAL;40.99;3.2
366;04/02/2021;PET PEAD;4.88;2.5
367;04/02/2021;PP COLORIDO;38.46;1.4
368;04/02/2021;cobre;45.37;39.2
369;04/02/2021;PET PEAD;49.7;2.5
370;04/02/2021;PP CRISTAL;25.35;3.2
371;04/02/2021;bloco;27.65;7.9
372;05/02/2021;aluminio;22.43;6.2
373;05/02/2021;chumbo;39.8;8.4
374;05/02/2021;chumbo;10.47;8.4
375;05/02/2021;chumbo;20.18;8.4
376;05/02/2021;chumbo;39.32;8.4
377;05/02/2021;placa eletronica;40.07;35
378;05/02/2021;alto impacto;47.09;0.9
379;05/02/2021;chumbo;16.7;8.4
380;05/02/2021;placa eletronica;17.02;35
381;05/02/2021;papelão;36.49;0.8
382;05/02/2021;ferro;19.81;1.1
383;05/02/2021;PP BRANCO;47.52;2.2
384;05/02/2021;óleo;26.77;1.9
385;05/02/2021;aço;7.52;5.3
386;05/02/2021;PET PEAD;1.63;2.5
387;05/02/2021;PP COLORIDO;17.03;1.4
388;05/02/2021;alto impacto;19.87;0.9
389;05/02/2021;bloco;10.83;7.9
390;05/02/2021;chumbo;12.24;8.4
391;05/02/2021;latinha;38.95;7.5
392;05/02/2021;PP BRANCO;32.61;2.2
393;05/02/2021;PP CRISTAL;32.25;3.2
394;05/02/2021;alto impacto;37.21;0.9
395;05/02/2021;arquivo;15.16;0.7
396;05/02/2021;chumbo;46.78;8.4
397;05/02/2021;chumbo;24.48;8.4
398;05/02/2021;placa eletronica;37.75;35
399;05/02/2021;óleo;40.23;1.9
400;08/02/2021;alto impacto;33.03;0.9
401;08/02/2021;aço;33.25;5.3
402;08/02/2021;chumbo;6.5;8.4
403;08/02/2021;cobre;4.11;39.2
404;08/02/2021;PP PRETO;9.09;1.4
405;08/02/2021;óleo;49.68;1.9
406;08/02/2021;chumbo;46.91;8.4
407;08/02/2021;PP BRANCO;13.84;2.2
408;08/02/2021;PET PEAD;30.04;2.5
409;08/02/2021;óleo;16.7;1.9
410;08/02/2021;arquivo;28.84;0.7
411;08/02/2021;PP COLORIDO;22.18;1.4
412;08/02/2021;latinha;17.94;7.5
413;08/02/2021;placa eletronica;47.95;35
414;08/02/2021;óleo;5.48;1.9
415;08/02/2021;vidro;49.61;1
416;08/02/2021;PP PRETO;32.13;1.4
417;09/02/2021;ferro;42;1.1
418;09/02/2021;PP BRANCO;10.18;2.2
419;09/02/2021;alto impacto;46.93;0.9
420;09/02/2021;aço;41.89;5.3
421;09/02/2021;aluminio;24.52;6.2
422;09/02/2021;vidro;32.71;1
423;09/02/2021;bateria;13.07;4.9
424;09/02/2021;cobre;7.43;39.2
425;09/02/2021;aluminio;4.53;6.2
426;09/02/2021;bateria;7.81;4.9
427;09/02/2021;aço;24.78;5.3
428;09/02/2021;aluminio;30.3;6.2
429;09/02/2021;ferro;30.02;1.1
430;09/02/2021;ferro;29.19;1.1
431;09/02/2021;latinha;37.42;7.5
432;09/02/2021;ferro;46.77;1.1
433;09/02/2021;vidro;33.57;1
434;10/02/2021;bateria;25.73;4.9
435;10/02/2021;ferro;1.14;1.1
436;10/02/2021;alto impacto;45.54;0.9
437;10/02/2021;PP BRANCO;5.07;2.2
438;10/02/2021;PP PRETO;1.22;1.4
439;10/02/2021;placa eletronica;38.48;35
440;10/02/2021;aço;19.33;5.3
441;11/02/2021;PP CRISTAL;3.07;3.2
442;11/02/2021;papelão;17.79;0.8
443;11/02/2021;latinha;30.32;7.5
444;11/02/2021;óleo;38.12;1.9
445;12/02/2021;PP PRETO;26.76;1.4
446;12/02/2021;alto impacto;10.67;0.9
447;12/02/2021;papelão;43.83;0.8
448;12/02/2021;PET PEAD;37.29;2.5
449;12/02/2021;óleo;38.74;1.9
450;12/02/2021;PP PRETO;46.64;1.4
451;12/02/2021;bloco;22.49;7.9
452;12/02/2021;PP BRANCO;39.97;2.2
453;12/02/2021;alto impacto;7.71;0.9
454;12/02/2021;PP CRISTAL;4.98;3.2
455;12/02/2021;latinha;15.4;7.5
456;12/02/2021;PP PRETO;9.41;1.4
457;12/02/2021;ferro;9.78;1.1
458;12/02/2021;chumbo;16.58;8.4
459;12/02/2021;papelão;42.46;0.8
460;12/02/2021;latinha;48.5;7.5
461;12/02/2021;papelão;3.42;0.8
462;12/02/2021;PP BRANCO;6.86;2.2
463;12/02/2021;chumbo;28.79;8.4
464;15/02/2021;chumbo;26.39;8.4
465;15/02/2021;PP CRISTAL;48.96;3.2
466;16/02/2021;latinha;8.2;7.5
467;16/02/2021;bloco;44.56;7.9
468;16/02/2021;latinha;12.79;7.5
469;16/02/2021;óleo;35.24;1.9
470;16/02/2021;chumbo;10.39;8.4
471;16/02/2021;alto impacto;39.75;0.9
472;16/02/2021;placa eletronica;44.96;35
473;16/02/2021;PP COLORIDO;41.96;1.4
474;16/02/2021;latinha;41.05;7.5
475;16/02/2021;latinha;0.6;7.5
476;16/02/2021;alto impacto;12.23;0.9
477;16/02/2021;PP PRETO;18.06;1.4
478;16/02/2021;arquivo;37.6;0.7
479;16/02/2021;PP BRANCO;27.19;2.2
480;16/02/2021;bateria;44.17;4.9
481;17/02/2021;placa eletronica;8.69;35
482;17/02/2021;aluminio;0.44;6.2
483;17/02/2021;placa eletronica;9.05;35
484;17/02/2021;PP CRISTAL;2.76;3.2
485;17/02/2021;óleo;21.49;1.9
486;17/02/2021;aço;14.99;5.3
487;17/02/2021;PP COLORIDO;6.91;1.4
488;17/02/2021;PP BRANCO;7.42;2.2
489;17/02/2021;papelão;17.26;0.8
490;17/02/2021;cobre;7.96;39.2
491;17/02/2021;latinha;3.12;7.5
492;18/02/2021;ferro;15.16;1.1
493;18/02/2021;ferro;14.56;1.1
494;18/02/2021;alto impacto;27.95;0.9
495;18/02/2021;aço;7.77;5.3
496;18/02/2021;placa eletronica;48.49;35
497;18/02/2021;bateria;5;4.9
498;18/02/2021;ferro;34.77;1.1
499;18/02/2021;latinha;47.77;7.5
500;18/02/2021;PP CRISTAL;29.61;3.2
501;18/02/2021;latinha;17.81;7.5
502;18/02/2021;bateria;11.16;4.9
503;19/02/2021;PP PRETO;44.59;1.4
504;19/02/2021;chumbo;27.95;8.4
505;19/02/2021;alto impacto;34.81;0.9
506;19/02/2021;latinha;30.88;7.5
507;19/02/2021;chumbo;6.89;8.4
508;19/02/2021;arquivo;28.89;0.7
509;19/02/2021;aluminio;24.67;6.2
510;22/02/2021;alto impacto;9.38;0.9
511;22/02/2021;chumbo;49.51;8.4
512;22/02/2021;arquivo;7.54;0.7
513;22/02/2021;óleo;8.51;1.9
514;22/02/2021;alto impacto;19.41;0.9
515;22/02/2021;ferro;37.38;1.1
516;22/02/2021;aluminio;35.88;6.2
517;22/02/2021;aluminio;33.56;6.2
518;22/02/2021;alto impacto;2.25;0.9
519;22/02/2021;óleo;33.55;1.9
520;22/02/2021;bloco;21.72;7.9
521;22/02/2021;vidro;35.08;1
522;22/02/2021;arquivo;34.12;0.7
523;22/02/2021;alto impacto;45.91;0.9
524;22/02/2021;aço;47.8;5.3
525;22/02/2021;latinha;18.52;7.5
526;22/02/2021;óleo;22.6;1.9
527;22/02/2021;alto impacto;12.07;0.9
528;22/02/2021;alto impacto;24.12;0.9
529;22/02/2021;aço;42.71;5.3
530;22/02/2021;placa eletronica;39.01;35
531;22/02/2021;ferro;14.43;1.1
532;22/02/2021;vidro;33.41;1
533;22/02/2021;óleo;29.36;1.9
534;22/02/2021;arquivo;15.6;0.7
535;23/02/2021;cobre;27.71;39.2
536;23/02/2021;papelão;38.41;0.8
537;23/02/2021;latinha;15.39;7.5
538;23/02/2021;latinha;7.11;7.5
539;23/02/2021;ferro;14.95;1.1
540;23/02/2021;PP PRETO;16.29;1.4
541;23/02/2021;PET PEAD;49.75;2.5
542;23/02/2021;PP CRISTAL;44.24;3.2
543;23/02/2021;placa eletronica;29.38;35
544;23/02/2021;PP PRETO;14.25;1.4
545;23/02/2021;PP PRETO;19.18;1.4
546;23/02/2021;papelão;48.37;0.8
547;23/02/2021;PP CRISTAL;17.01;3.2
548;23/02/2021;alto impacto;14.03;0.9
549;23/02/2021;óleo;25;1.9
550;23/02/2021;bateria;32.94;4.9
551;23/02/2021;aço;15.02;5.3
552;23/02/2021;PP BRANCO;38.32;2.2
553;23/02/2021;PP COLORIDO;18.78;1.4
554;23/02/2021;PP CRISTAL;45.9;3.2
555;23/02/2021;alto impacto;18.97;0.9
556;23/02/2021;bloco;40.79;7.9
557;23/02/2021;PET PEAD;24.16;2.5
558;23/02/2021;PET PEAD;44.65;2.5
559;23/02/2021;aço;44.79;5.3
560;23/02/2021;ferro;16.86;1.1
561;23/02/2021;chumbo;45.09;8.4
562;24/02/2021;PP PRETO;5.49;1.4
563;24/02/2021;vidro;19.53;1
564;24/02/2021;arquivo;16;0.7
565;24/02/2021;chumbo;32.05;8.4
566;24/02/2021;aluminio;6.5;6.2
567;24/02/2021;latinha;22.89;7.5
568;24/02/2021;chumbo;46.96;8.4
569;24/02/2021;PP COLORIDO;45.62;1.4
570;24/02/2021;PP PRETO;32.95;1.4
571;25/02/2021;PP COLORIDO;36.69;1.4
572;25/02/2021;aluminio;14.16;6.2
573;25/02/2021;cobre;2.97;39.2
574;26/02/2021;latinha;0.8;7.5
575;26/02/2021;latinha;27.51;7.5
576;26/02/2021;papelão;4.19;0.8
577;26/02/2021;vidro;9.25;1
578;26/02/2021;PP PRETO;22.53;1.4
579;26/02/2021;aço;18.27;5.3
580;26/02/2021;PP BRANCO;9.64;2.2
581;26/02/2021;placa eletronica;35.99;35
582;26/02/2021;óleo;44.23;1.9
583;26/02/2021;PP COLORIDO;18.47;1.4
584;26/02/2021;PP CRISTAL;15.75;3.2
585;26/02/2021;placa eletronica;32.22;35
586;26/02/2021;alto impacto;2.97;0.9
587;26/02/2021;bloco;26.83;7.9
588;26/02/2021;PP BRANCO;37.93;2.2
589;26/02/2021;PP PRETO;19.36;1.4
590;26/02/2021;aço;41.84;5.3
591;26/02/2021;PP CRISTAL;11.62;3.2
592;01/03/2021;bateria;3.48;5.2
593;01/03/2021;arquivo;31.22;0.7
594;01/03/2021;latinha;26.98;8
595;01/03/2021;PP CRISTAL;19.95;3.4
596;01/03/2021;PP PRETO;13.68;1.3
597;01/03/2021;placa eletronica;17.66;36.8
598;01/03/2021;PP COLORIDO;17.02;1.5
599;01/03/2021;bloco;48.46;7.4
600;01/03/2021;chumbo;4.79;8.9
601;01/03/2021;ferro;12.62;1.2
602;01/03/2021;aluminio;42.63;6.5
603;01/03/2021;placa eletronica;42.37;36.8
604;02/03/2021;cobre;18.84;41.2
605;02/03/2021;aço;38.05;5
606;02/03/2021;PP CRISTAL;18.18;3.4
607;02/03/2021;aço;22.1;5
608;02/03/2021;papelão;3.85;0.8
609;02/03/2021;PP PRETO;45.25;1.3
610;02/03/2021;latinha;38.42;8
611;02/03/2021;placa eletronica;29.95;36.8
612;02/03/2021;chumbo;4.21;8.9
613;02/03/2021;PP COLORIDO;18.94;1.5
614;02/03/2021;aço;4.22;5
615;02/03/2021;aluminio;29.07;6.5
616;02/03/2021;alto impacto;25.6;1
617;02/03/2021;bloco;10.14;7.4
618;02/03/2021;PP CRISTAL;27;3.4
619;02/03/2021;latinha;44.25;8
620;02/03/2021;latinha;0.43;8
621;02/03/2021;PP CRISTAL;15.75;3.4
622;02/03/2021;vidro;4.11;1
623;02/03/2021;aço;47.71;5
624;02/03/2021;aluminio;14.93;6.5
625;02/03/2021;cobre;1.03;41.2
626;03/03/2021;óleo;38.78;1.8
627;03/03/2021;papelão;20.22;0.8
